species,tissue_class,cell_type,cell_name,geneSymbol,PMID
Mm Hs,Pancreas,,Acinar cells,CTRB1,
Mm Hs,Pancreas,,Acinar cells,KLK1,
Mm Hs,Pancreas,,Acinar cells,RBPJL,
Mm Hs,Pancreas,,Acinar cells,PTF1A,
Mm,Pancreas,,Acinar cells,TRY4,
Mm Hs,Pancreas,,Acinar cells,CELA3A,
Mm Hs,Pancreas,,Acinar cells,PRSS1,
Mm,Pancreas,,Acinar cells,AMY2A2,
Mm Hs,Pancreas,,Acinar cells,SPINK1,
Mm Hs,Pancreas,,Acinar cells,ZG16,
Mm Hs,Pancreas,,Acinar cells,CEL,
Mm Hs,Pancreas,,Acinar cells,CELA2A,
Mm,Pancreas,,Acinar cells,AMY2A3,
Mm Hs,Pancreas,,Acinar cells,CPB1,
Mm Hs,Pancreas,,Acinar cells,CELA1,
Mm,Pancreas,,Acinar cells,AMY2A5,
Mm Hs,Pancreas,,Acinar cells,RNASE1,
Mm Hs,Pancreas,,Acinar cells,AMY2B,
Mm Hs,Pancreas,,Acinar cells,CPA2,
Mm Hs,Pancreas,,Acinar cells,CPA1,
Mm Hs,Pancreas,,Acinar cells,CELA3B,
Mm Hs,Pancreas,,Acinar cells,PNLIP,
Hs,Pancreas,,Acinar cells,CTRB2,
Mm Hs,Pancreas,,Acinar cells,PLA2G1B,
Mm Hs,Pancreas,,Acinar cells,PRSS2,
Mm Hs,Pancreas,,Acinar cells,CLPS,
Hs,Pancreas,,Acinar cells,REG1A,
Mm Hs,Pancreas,,Acinar cells,SYCN,
Mm Hs,Pancreas,,Acinar cells,PNLIPRP1,
Mm Hs,Pancreas,,Acinar cells,CTRC,
Mm Hs,Pancreas,,Acinar cells,REG3A,
Hs,Pancreas,,Acinar cells,SERPINA3,
Mm Hs,Pancreas,,Acinar cells,PRSS3,
Hs,Pancreas,,Acinar cells,REG1B,
Mm Hs,Pancreas,,Acinar cells,CFB,
Mm Hs,Pancreas,,Acinar cells,GDF15,
Mm Hs,Pancreas,,Acinar cells,MUC1,
Hs,Pancreas,,Acinar cells,C15ORF48,
Mm Hs,Pancreas,,Acinar cells,DUOXA2,
Hs,Pancreas,,Acinar cells,AKR1C3,
Mm Hs,Pancreas,,Acinar cells,OLFM4,
Mm Hs,Pancreas,,Acinar cells,GSTA1,
Mm Hs,Pancreas,,Acinar cells,LGALS2,
Mm Hs,Pancreas,,Acinar cells,PDZK1IP1,
Mm Hs,Pancreas,,Acinar cells,RARRES2,
Mm Hs,Pancreas,,Acinar cells,CXCL17,
Mm Hs,Pancreas,,Acinar cells,UBD,
Mm Hs,Pancreas,,Acinar cells,GSTA2,
Mm Hs,Pancreas,,Acinar cells,ANPEP,
Hs,Pancreas,,Acinar cells,LYZ,
Mm Hs,Pancreas,,Acinar cells,ANGPTL4,
Mm Hs,Pancreas,,Acinar cells,ALDOB,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,CEBPA,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,EGFR,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,FGF10,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,GSC,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,MMP3,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,PPARG,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,TWIST2,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,GATA3,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,GLI1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,SMO,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,STAB1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,WISP2,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,WT1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,SCARA5,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,HOXC8,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,TCF7L1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,HOXC9,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,HOXC6,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,HOXC4,
Hs,Connective tissue,,Adipocyte progenitor cells,ZNF521,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,SULT1E1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,EBF2,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,NRG4,
Mm Hs,Connective tissue,,Adipocytes,SLC36A2,
Mm Hs,Connective tissue,,Adipocytes,P2RX5,
Mm Hs,Connective tissue,,Adipocytes,LEP,
Mm Hs,Connective tissue,,Adipocytes,UCP1,
Mm Hs,Connective tissue,,Adipocytes,CIDEA,
Mm Hs,Connective tissue,,Adipocytes,PRDM16,
Mm Hs,Connective tissue,,Adipocytes,LHX8,
Mm Hs,Connective tissue,,Adipocytes,EPSTI1,
Mm Hs,Connective tissue,,Adipocytes,MC2R,
Mm Hs,Connective tissue,,Adipocytes,FFAR2,
Mm Hs,Connective tissue,,Adipocytes,PIKFYVE,
Mm Hs,Connective tissue,,Adipocytes,CYP11B2,
Mm Hs,Connective tissue,,Adipocytes,TLR2,
Mm Hs,Connective tissue,,Adipocytes,TLR4,
Mm Hs,Connective tissue,,Adipocytes,ADRB1,
Mm Hs,Connective tissue,,Adipocytes,ADRB2,
Mm Hs,Connective tissue,,Adipocytes,ADRB3,
Mm Hs,Connective tissue,,Adipocytes,FABP4,
Mm Hs,Connective tissue,,Adipocytes,TNFRSF9,
Mm Hs,Connective tissue,,Adipocytes,TBX1,
Mm Hs,Connective tissue,,Adipocytes,TMEM26,
Mm Hs,Connective tissue,,Adipocytes,TCF21,
Mm Hs,Connective tissue,,Adipocytes,ADIPOQ,
Mm Hs,Connective tissue,,Adipocytes,CFD,
Mm Hs,Connective tissue,,Adipocytes,ACVR1C,
Mm Hs,Connective tissue,,Adipocytes,SLC2A4,
Mm Hs,Connective tissue,,Adipocytes,LPIN1,
Mm Hs,Connective tissue,,Adipocytes,PLIN1,
Mm Hs,Connective tissue,,Adipocytes,PCK1,
Mm Hs,Connective tissue,,Adipocytes,PPARG,
Mm Hs,Connective tissue,,Adipocytes,RETN,
Mm Hs,Connective tissue,,Adipocytes,MEST,
Mm Hs,Connective tissue,,Adipocytes,ADM2,
Mm Hs,Connective tissue,,Adipocytes,STAT6,
Mm Hs,Connective tissue,,Adipocytes,TFE3,
Mm Hs,Connective tissue,,Adipocytes,CPPED1,
Mm Hs,Connective tissue,,Adipocytes,APPL2,
Mm Hs,Connective tissue,,Adipocytes,APOL6,
Mm Hs,Connective tissue,,Adipocytes,PXMP2,
Hs,Connective tissue,,Adipocytes,CAVIN1,
Mm Hs,Connective tissue,,Adipocytes,AGT,
Mm Hs,Connective tissue,,Adipocytes,SLC1A5,
Mm Hs,Connective tissue,,Adipocytes,ACSL1,
Mm,Connective tissue,,Adipocytes,CAR3,
Mm Hs,Connective tissue,,Adipocytes,BCAT2,
Mm Hs,Connective tissue,,Adipocytes,PNPLA2,
Mm Hs,Connective tissue,,Adipocytes,CIDEC,
Mm Hs,Connective tissue,,Adipocytes,CDO1,
Mm Hs,Connective tissue,,Adipocytes,APOC1,
Mm Hs,Connective tissue,,Adipocytes,MMP2,
Mm Hs,Connective tissue,,Adipocytes,POSTN,
Mm Hs,Connective tissue,,Adipocytes,LOX,
Mm Hs,Connective tissue,,Adipocytes,COL6A2,
Mm Hs,Connective tissue,,Adipocytes,ZBTB16,
Mm Hs,Connective tissue,,Adipocytes,GULP1,
Mm Hs,Connective tissue,,Adipocytes,FZD4,
Mm Hs,Connective tissue,,Adipocytes,TRIP10,
Mm Hs,Connective tissue,,Adipocytes,FGF7,
Mm Hs,Connective tissue,,Adipocytes,MAOB,
Mm Hs,Connective tissue,,Adipocytes,SOCS1,
Mm Hs,Connective tissue,,Adipocytes,ARNT,
Mm Hs,Connective tissue,,Adipocytes,SULT1A1,
Mm Hs,Connective tissue,,Adipocytes,NNMT,
Mm Hs,Connective tissue,,Adipocytes,AOC3,
Mm Hs,Connective tissue,,Adipocytes,H6PD,
Mm Hs,Connective tissue,,Adipocytes,CYP27A1,
Mm Hs,Connective tissue,,Adipocytes,EBF2,
Mm Hs,Connective tissue,,Adipocytes,MNDA,
Mm Hs,Connective tissue,,Adipocytes,HSD11B1,
Mm Hs,Connective tissue,,Adipocytes,AR,
Mm Hs,Connective tissue,,Adipocytes,GDF10,
Mm Hs,Connective tissue,,Adipocytes,CYP1B1,
Mm Hs,Connective tissue,,Adipocytes,COL5A3,
Mm Hs,Connective tissue,,Adipocytes,STEAP4,
Mm Hs,Connective tissue,,Adipocytes,CCL11,
Mm Hs,Connective tissue,,Adipocytes,NR1H3,
Mm Hs,Connective tissue,,Adipocytes,DEPTOR,
Mm Hs,Connective tissue,,Adipocytes,CYTH3,
None,Connective tissue,,Adipocytes,TUSC5,
Mm Hs,Connective tissue,,Adipocytes,FMO1,
Mm Hs,Connective tissue,,Adipocytes,ACADSB,
Mm Hs,Connective tissue,,Adipocytes,XDH,
Mm Hs,Connective tissue,,Adipocytes,RSPO3,
Mm Hs,Connective tissue,,Adipocytes,PTGES,
Mm Hs,Connective tissue,,Adipocytes,CREB3L1,
Mm Hs,Connective tissue,,Adipocytes,ANGPTL2,
Mm Hs,Connective tissue,,Adipocytes,ADAM12,
Mm,Connective tissue,,Adipocytes,ADH1,
Mm Hs,Connective tissue,,Adipocytes,LBP,
Mm Hs,Connective tissue,,Adipocytes,NMB,
Mm Hs,Connective tissue,,Adipocytes,RARRES2,
Mm Hs,Connective tissue,,Adipocytes,FST,
Mm Hs,Connective tissue,,Adipocytes,EGFR,
Mm Hs,Connective tissue,,Adipocytes,CPXM1,
Mm Hs,Connective tissue,,Adipocytes,C3,
Mm Hs,Connective tissue,,Adipocytes,ADAMTS5,
Hs,Connective tissue,,Adipocytes,MT2A,
Mm Hs,Connective tissue,,Adipocytes,TIMP1,
Mm Hs,Connective tissue,,Adipocytes,METRN,
Mm Hs,Connective tissue,,Adipocytes,METRNL,
Mm Hs,Connective tissue,,Adipocytes,MYO1C,
Mm Hs,Connective tissue,,Adipocytes,NQO1,
Mm Hs,Connective tissue,,Adipocytes,SYAP1,
Mm Hs,Connective tissue,,Adipocytes,CRNDE,
Mm Hs,Connective tissue,,Adipocytes,AQP5,
Mm Hs,Connective tissue,,Adipocytes,TSPO,
Mm Hs,Connective tissue,,Adipocytes,AZGP1,
Mm Hs,Connective tissue,,Adipocytes,LRP1,
Mm Hs,Connective tissue,,Adipocytes,PDE3B,
Mm Hs,Connective tissue,,Adipocytes,LGALS12,
Mm Hs,Connective tissue,,Adipocytes,SERPINF1,
Mm Hs,Connective tissue,,Adipocytes,CPT1B,
Mm Hs,Connective tissue,,Adipocytes,ELOVL3,
Mm Hs,Connective tissue,,Adipocytes,PPARGC1A,
Mm Hs,Connective tissue,,Adipocytes,MPZL1,
Mm Hs,Connective tissue,,Adipocytes,CITED1,
Mm Hs,Connective tissue,,Adipocytes,DPT,
Mm Hs,Connective tissue,,Adipocytes,HOXC9,
Hs,Connective tissue,,Adipocytes,ZNF423,
Mm Hs,Connective tissue,,Adipocytes,ESM1,
Mm Hs,Brain,,Adrenergic neurons,TH,
Mm Hs,Brain,,Adrenergic neurons,DDC,
Mm Hs,Brain,,Adrenergic neurons,DBH,
Mm Hs,Brain,,Adrenergic neurons,PNMT,
Mm Hs,Brain,,Adrenergic neurons,SLC18A2,
Mm Hs,Brain,,Adrenergic neurons,NPFF,
Mm Hs,Brain,,Adrenergic neurons,SLC12A7,
Mm Hs,Brain,,Adrenergic neurons,SYT1,
Mm Hs,Lungs,,Airway epithelial cells,AQP1,
Mm Hs,Lungs,,Airway epithelial cells,ADH7,
Mm Hs,Lungs,,Airway epithelial cells,CDH1,
Mm Hs,Lungs,,Airway epithelial cells,SEC14L3,
Mm Hs,Lungs,,Airway goblet cells,MUC5B,
Mm Hs,Lungs,,Airway goblet cells,MUC16,
Mm Hs,Lungs,,Airway goblet cells,LTF,
Mm Hs,Lungs,,Airway goblet cells,SCGB3A1,
Mm,Lungs,,Airway goblet cells,DCPP1,
Mm Hs,Lungs,,Airway goblet cells,DMBT1,
Mm,Lungs,,Airway goblet cells,WFDC18,
Mm,Lungs,,Airway goblet cells,DCPP3,
Mm Hs,Lungs,,Airway goblet cells,LIPF,
Mm,Lungs,,Airway goblet cells,DCPP2,
Mm Hs,Lungs,,Airway goblet cells,MSLN,
Mm Hs,Lungs,,Airway goblet cells,AGR2,
Mm Hs,Lungs,,Airway goblet cells,GP2,
Mm Hs,Lungs,,Airway goblet cells,PIGR,
Mm Hs,Lungs,,Airway goblet cells,TFF2,
Mm Hs,Lungs,,Airway goblet cells,AQP5,
Mm,Lungs,,Airway goblet cells,CBR2,
Mm Hs,Lungs,,Airway goblet cells,QSOX1,
Mm Hs,Lungs,,Airway goblet cells,FXYD3,
Mm Hs,Lungs,,Airway goblet cells,SEC23B,
Mm Hs,Lungs,,Airway goblet cells,CEACAM1,
Mm Hs,Lungs,,Airway goblet cells,GOLPH3,
Mm Hs,Lungs,,Airway goblet cells,GGH,
Mm Hs,Lungs,,Airway goblet cells,GALNT5,
Mm Hs,Lungs,,Airway goblet cells,GALNT6,
Mm Hs,Lungs,,Airway goblet cells,MUC5AC,
Mm Hs,Lungs,,Airway goblet cells,MUC4,
Mm Hs,Lungs,,Airway goblet cells,MUC20,
Mm Hs,Lungs,,Airway goblet cells,SPDEF,
Mm Hs,Lungs,,Airway goblet cells,DUSP4,
Mm Hs,Smooth muscle,,Airway smooth muscle cells,NOG,
Mm Hs,Smooth muscle,,Airway smooth muscle cells,ACTA2,
Mm Hs,Smooth muscle,,Airway smooth muscle cells,FOXF1,
Mm Hs,Smooth muscle,,Airway smooth muscle cells,GATA5,
Mm Hs,Pancreas,,Alpha cells,GCG,
Mm Hs,Pancreas,,Alpha cells,TTR,
Mm Hs,Pancreas,,Alpha cells,GLP1R,
Mm Hs,Pancreas,,Alpha cells,ARX,
Mm Hs,Pancreas,,Alpha cells,POU3F4,
Mm Hs,Pancreas,,Alpha cells,NKX2-2,
Mm Hs,Pancreas,,Alpha cells,RESP18,
Mm Hs,Pancreas,,Alpha cells,PYY,
Mm Hs,Pancreas,,Alpha cells,PCSK2,
Mm Hs,Pancreas,,Alpha cells,SLC38A5,
Mm Hs,Pancreas,,Alpha cells,TM4SF4,
Mm Hs,Pancreas,,Alpha cells,CRYBA2,
Mm Hs,Pancreas,,Alpha cells,NKX6-1,
Mm Hs,Pancreas,,Alpha cells,KCNK16,
Mm Hs,Pancreas,,Alpha cells,PCSK1,
Mm Hs,Pancreas,,Alpha cells,PRRG2,
Mm Hs,Pancreas,,Alpha cells,IRX2,
Mm Hs,Pancreas,,Alpha cells,ALDH1A1,
Mm Hs,Pancreas,,Alpha cells,PEMT,
Mm Hs,Pancreas,,Alpha cells,CHGA,
4,Pancreas,,Alpha cells,DEPP1,
Mm Hs,Pancreas,,Alpha cells,SMIM24,
Mm Hs,Pancreas,,Alpha cells,F10,
Mm Hs,Pancreas,,Alpha cells,SCGN,
Mm Hs,Pancreas,,Alpha cells,SLC30A8,
Mm Hs,Pancreas,,Alpha cells,SH3GL2,
Hs,Pancreas,,Alpha cells,SCGB2A1,
Mm Hs,Pancreas,,Alpha cells,FAP,
Mm Hs,Pancreas,,Alpha cells,DPP4,
Mm Hs,Pancreas,,Alpha cells,GPR119,
Mm Hs,Pancreas,,Alpha cells,MAFB,
Mm Hs,Pancreas,,Alpha cells,PAX6,
Mm Hs,Pancreas,,Alpha cells,NEUROD1,
Mm Hs,Pancreas,,Alpha cells,LOXL4,
Mm Hs,Pancreas,,Alpha cells,PLCE1,
Mm Hs,Pancreas,,Alpha cells,GC,
Mm Hs,Pancreas,,Alpha cells,KLHL41,
Mm Hs,Pancreas,,Alpha cells,FEV,
Mm Hs,Pancreas,,Alpha cells,PTGER3,
Mm Hs,Pancreas,,Alpha cells,RFX6,
Mm Hs,Pancreas,,Alpha cells,SMARCA1,
Mm Hs,Pancreas,,Alpha cells,PGR,
Mm Hs,Pancreas,,Alpha cells,LDB2,
Mm Hs,Pancreas,,Alpha cells,IRX1,
Mm Hs,Pancreas,,Alpha cells,UCP2,
Mm Hs,Pancreas,,Alpha cells,FXYD5,
Mm Hs,Pancreas,,Alpha cells,RGS4,
Mm Hs,Pancreas,,Alpha cells,GLS,
Mm,Lungs,,Alveolar macrophages,CHIL3,
Mm Hs,Lungs,,Alveolar macrophages,PLET1,
Mm Hs,Lungs,,Alveolar macrophages,IL1B,
Mm,Lungs,,Alveolar macrophages,WFDC21,
Mm,Lungs,,Alveolar macrophages,BGLAP3,
Mm Hs,Lungs,,Alveolar macrophages,CCL3,
Mm Hs,Lungs,,Alveolar macrophages,G0S2,
Mm Hs,Lungs,,Alveolar macrophages,CXCL2,
Mm Hs,Lungs,,Alveolar macrophages,MCEMP1,
Mm Hs,Lungs,,Alveolar macrophages,KLHDC4,
Mm,Lungs,,Alveolar macrophages,BCL2A1D,
Mm Hs,Lungs,,Alveolar macrophages,GDA,
Mm Hs,Lungs,,Alveolar macrophages,CLEC7A,
Mm,Lungs,,Alveolar macrophages,BCL2A1B,
Mm Hs,Lungs,,Alveolar macrophages,ITGAX,
Mm Hs,Lungs,,Alveolar macrophages,TNFAIP2,
Mm Hs,Lungs,,Alveolar macrophages,CD36,
Mm Hs,Lungs,,Alveolar macrophages,GAL,
Mm,Lungs,,Alveolar macrophages,CAR4,
Mm,Lungs,,Alveolar macrophages,EAR2,
Mm Hs,Lungs,,Alveolar macrophages,TLR2,
Mm Hs,Lungs,,Alveolar macrophages,GPNMB,
Mm Hs,Lungs,,Alveolar macrophages,MRC1,
Mm,Lungs,,Alveolar macrophages,LYZ1,
Mm Hs,Lungs,,Alveolar macrophages,MARCO,
Mm Hs,Lungs,,Alveolar macrophages,CSF2RB,
Mm Hs,Lungs,,Alveolar macrophages,MPP1,
Mm Hs,Lungs,,Alveolar macrophages,TRIM25,
Mm,Lungs,,Alveolar macrophages,EAR1,
Mm Hs,Lungs,,Alveolar macrophages,OLR1,
Mm Hs,Lungs,,Alveolar macrophages,S100A4,
Mm Hs,Lungs,,Alveolar macrophages,GNGT2,
Mm,Lungs,,Alveolar macrophages,SIGLECF,
Mm Hs,Brain,,Anterior pituitary gland cells,AGA,
Mm Hs,Brain,,Anterior pituitary gland cells,ANGPT1,
Mm Hs,Brain,,Anterior pituitary gland cells,CHGA,
Mm Hs,Brain,,Anterior pituitary gland cells,CPEB4,
None,Brain,,Anterior pituitary gland cells,DDX26B,
Mm,Brain,,Anterior pituitary gland cells,GH,
Mm Hs,Brain,,Anterior pituitary gland cells,IGSF1,
Mm Hs,Brain,,Anterior pituitary gland cells,MEST,
Mm Hs,Brain,,Anterior pituitary gland cells,NKTR,
Mm Hs,Brain,,Anterior pituitary gland cells,NUCB2,
Mm Hs,Brain,,Anterior pituitary gland cells,PITX2,
Mm Hs,Brain,,Anterior pituitary gland cells,POU1F1,
Mm Hs,Brain,,Anterior pituitary gland cells,PRL,
Mm Hs,Brain,,Anterior pituitary gland cells,RAB27A,
Mm Hs,Brain,,Anterior pituitary gland cells,RCN3,
Mm Hs,Brain,,Anterior pituitary gland cells,SEZ6L2,
Mm Hs,Brain,,Anterior pituitary gland cells,SIX6,
Mm Hs,Brain,,Anterior pituitary gland cells,TBRG1,
Mm Hs,Brain,,Anterior pituitary gland cells,TMEM130,
Mm Hs,Brain,,Anterior pituitary gland cells,POMC,
Mm Hs,Brain,,Anterior pituitary gland cells,GMPPA,
Mm,Brain,,Anterior pituitary gland cells,TRIM30B,
Mm Hs,Brain,,Anterior pituitary gland cells,GNB3,
Mm Hs,Brain,,Anterior pituitary gland cells,HEPACAM2,
Mm Hs,Brain,,Anterior pituitary gland cells,ASB4,
Mm Hs,Brain,,Anterior pituitary gland cells,RAX,
Mm Hs,Brain,,Anterior pituitary gland cells,NKX2-1,
Mm Hs,Brain,,Anterior pituitary gland cells,FGF10,
Mm Hs,Brain,,Anterior pituitary gland cells,FSHB,
Mm Hs,Brain,,Anterior pituitary gland cells,PCSK1,
Mm Hs,Brain,,Anterior pituitary gland cells,GNRHR,
Mm Hs,Brain,,Anterior pituitary gland cells,PITX1,
Hs,Brain,,Anterior pituitary gland cells,GH1,
Mm Hs,Brain,,Anterior pituitary gland cells,TSHB,
Mm Hs,Brain,,Anterior pituitary gland cells,PAX7,
Mm Hs,Brain,,Anterior pituitary gland cells,LHB,
Mm Hs,Brain,,Astrocytes,S100B,
Mm Hs,Brain,,Astrocytes,SLC1A2,
Mm Hs,Brain,,Astrocytes,GFAP,
Mm Hs,Brain,,Astrocytes,BYSL,
Mm Hs,Brain,,Astrocytes,ALDH1L1,
Mm Hs,Brain,,Astrocytes,CD40,
Mm Hs,Brain,,Astrocytes,SLC1A3,
Mm Hs,Brain,,Astrocytes,FGFR3,
Mm Hs,Brain,,Astrocytes,GJB6,
Mm Hs,Brain,,Astrocytes,AQP4,
Mm Hs,Brain,,Astrocytes,HTRA1,
Mm Hs,Brain,,Astrocytes,S100A8,
Mm Hs,Brain,,Astrocytes,CLDN10,
Mm Hs,Brain,,Astrocytes,ITIH3,
Mm Hs,Brain,,Astrocytes,NKAIN4,
Mm Hs,Brain,,Astrocytes,ACSL6,
Mm Hs,Brain,,Astrocytes,ACSBG1,
Mm Hs,Brain,,Astrocytes,TRIL,
Mm Hs,Brain,,Astrocytes,AGT,
Mm Hs,Brain,,Astrocytes,GPR37L1,
Mm Hs,Brain,,Astrocytes,SLC4A4,
Mm Hs,Brain,,Astrocytes,NTSR2,
Mm Hs,Brain,,Astrocytes,SLC6A11,
Mm Hs,Brain,,Astrocytes,HSPA2,
Mm Hs,Brain,,Astrocytes,SLC16A2,
Mm Hs,Brain,,Astrocytes,SYNE1,
Mm Hs,Brain,,Astrocytes,DIO2,
Mm Hs,Brain,,Astrocytes,SLC7A10,
Mm Hs,Brain,,Astrocytes,ENTPD2,
Mm Hs,Brain,,Astrocytes,HSPB6,
Mm Hs,Brain,,Astrocytes,PLXNB1,
Mm Hs,Brain,,Astrocytes,LCAT,
Mm Hs,Brain,,Astrocytes,PLA2G7,
Mm Hs,Brain,,Astrocytes,CMTM5,
Mm Hs,Brain,,Astrocytes,S1PR1,
Mm Hs,Brain,,Astrocytes,SLC39A12,
Mm Hs,Brain,,Astrocytes,LUZP2,
Mm Hs,Brain,,Astrocytes,GSTA4,
Mm Hs,Brain,,Astrocytes,SLC25A28,
Mm Hs,Brain,,Astrocytes,SLC25A46,
Mm Hs,Brain,,Astrocytes,WNT3,
Mm Hs,Brain,,Astrocytes,FZD2,
Mm Hs,Brain,,Astrocytes,TEAD1,
Mm Hs,Brain,,Astrocytes,RLBP1,
Mm Hs,Brain,,Astrocytes,ALDOC,
Mm Hs,Brain,,Astrocytes,GJA1,
Mm Hs,Brain,,Astrocytes,APOE,
Mm Hs,Brain,,Astrocytes,LCN2,
Mm Hs,Brain,,Astrocytes,SOX9,
Mm Hs,Brain,,Astrocytes,VIM,
Mm Hs,Brain,,Astrocytes,CCR7,
Mm Hs,Brain,,Astrocytes,AANAT,
Mm Hs,Brain,,Astrocytes,FABP7,
Mm Hs,Brain,,Astrocytes,SOCS3,
Mm Hs,Brain,,Astrocytes,SYNM,
Mm Hs,Brain,,Astrocytes,HMG20A,
Mm Hs,Brain,,Astrocytes,NFATC3,
Mm Hs,Brain,,Astrocytes,SRR,
Mm Hs,Brain,,Astrocytes,SLC1A6,
Mm Hs,Brain,,Astrocytes,ETS1,
Mm Hs,Brain,,Astrocytes,SLIT1,
Mm Hs,Brain,,Astrocytes,SNPH,
Mm Hs,Brain,,Astrocytes,IL23A,
Mm Hs,Immune system,,B cells,CD2,
Mm Hs,Immune system,,B cells,CD5,
Mm Hs,Immune system,,B cells,MS4A1,
Mm Hs,Immune system,,B cells,CR2,
Mm Hs,Immune system,,B cells,CD22,
Hs,Immune system,,B cells,FCER2,
Mm Hs,Immune system,,B cells,CD40,
Mm Hs,Immune system,,B cells,CD69,
Mm Hs,Immune system,,B cells,CD70,
Mm Hs,Immune system,,B cells,CD79A,
Mm Hs,Immune system,,B cells,CD79B,
Mm Hs,Immune system,,B cells,CD80,
Mm Hs,Immune system,,B cells,CD86,
Mm Hs,Immune system,,B cells,TNFRSF9,
Mm Hs,Immune system,,B cells,SDC1,
Mm Hs,Immune system,,B cells,TNFSF4,
Mm Hs,Immune system,,B cells,TNFRSF13B,
Mm Hs,Immune system,,B cells,TNFRSF13C,
Mm Hs,Immune system,,B cells,PDCD1,
Mm Hs,Immune system,,B cells,IGHD,
Mm Hs,Immune system,,B cells,IGHM,
Mm Hs,Immune system,,B cells,RASGRP3,
Hs,Immune system,,B cells,HLA-DRA,
Mm Hs,Immune system,,B cells,LTB,
Hs,Immune system,,B cells,HLA-DQA1,
Mm Hs,Immune system,,B cells,FLI1,
Mm Hs,Immune system,,B cells,CD14,
Mm Hs,Immune system,,B cells,SEMA6D,
Mm Hs,Immune system,,B cells,LAIR1,
Mm Hs,Immune system,,B cells,IFIT3,
Mm Hs,Immune system,,B cells,IGLL1,
Mm Hs,Immune system,,B cells,DNTT,
Mm Hs,Immune system,,B cells,MME,
Mm Hs,Immune system,,B cells,SPN,
Mm Hs,Immune system,,B cells,CD19,
Hs,Immune system,,B cells,CD24,
Mm Hs,Immune system,,B cells,CD27,
Mm Hs,Immune system,,B cells,B3GAT1,
Mm Hs,Immune system,,B cells,CD72,
Mm Hs,Immune system,,B cells,MUM1,
Mm Hs,Immune system,,B cells,PAX5,
Mm Hs,Immune system,,B cells,JCHAIN,
Mm Hs,Immune system,,B cells,MZB1,
Mm Hs,Immune system,,B cells,LY6D,
Mm,Immune system,,B cells,H2-DMB2,
Mm Hs,Immune system,,B cells,FCMR,
Mm Hs,Immune system,,B cells,BANK1,
Mm Hs,Immune system,,B cells,EDEM1,
Mm Hs,Immune system,,B cells,VPREB3,
Mm,Immune system,,B cells,H2-OB,
Mm Hs,Immune system,,B cells,POU2AF1,
Mm Hs,Immune system,,B cells,CRELD2,
Mm Hs,Immune system,,B cells,DERL3,
Mm,Immune system,,B cells,SIGLECG,
Mm Hs,Immune system,,B cells,RALGPS2,
Mm Hs,Immune system,,B cells,FCHSD2,
Mm Hs,Immune system,,B cells,POLD4,
Mm,Immune system,,B cells,CMAH,
Mm Hs,Immune system,,B cells,TNFRSF17,
Mm Hs,Immune system,,B cells,HVCN1,
Mm,Immune system,,B cells,TRP53INP1,
Mm Hs,Immune system,,B cells,FCRLA,
Mm Hs,Immune system,,B cells,EDEM2,
Mm Hs,Immune system,,B cells,BLNK,
Mm,Immune system,,B cells,H2-OA,
Mm Hs,Immune system,,B cells,TXNDC11,
Mm Hs,Immune system,,B cells,BTLA,
Mm Hs,Immune system,,B cells,SMAP2,
Mm,Immune system,,B cells,SCD1,
None,Immune system,,B cells,FAM46C,
Mm Hs,Immune system,,B cells,FKBP11,
Mm Hs,Immune system,,B cells,SEC61A1,
Mm Hs,Immune system,,B cells,SPCS3,
Mm Hs,Immune system,,B cells,SPIB,
Mm Hs,Immune system,,B cells,EAF2,
Mm Hs,Immune system,,B cells,CXCR4,
Mm Hs,Immune system,,B cells,BIRC3,
Mm Hs,Immune system,,B cells,IGLC2,
Mm Hs,Immune system,,B cells,IGLC3,
Mm Hs,Immune system,,B cells,IGLC1,
Mm Hs,Immune system,,B cells,IL21R,
Mm Hs,Immune system,,B cells,IGKC,
Mm,Immune system,,B cells,IGLV1,
Mm Hs,Immune system,,B cells,VPREB1,
Mm,Immune system,,B cells,VPREB2,
Mm Hs,Immune system,,B cells,LRMP,
Mm Hs,Immune system,,B cells,KLHL6,
